,Tweets,len,ID,Date,Likes,RTs,sentiment
155,"RT @BBCSport: PFA Player of the Year ? 
Football Writers' Association Footballer of the Year ?
..and now:
Premier League Player of the Seas?",140,995621506519633920,2018-05-13 11:07:19,0,143,
156,'One family' behind Indonesia blasts https://t.co/ADxkYn8xA9,60,995616116474073090,2018-05-13 10:45:54,40,37,
157,'I'll keep competing with myself till I die' https://t.co/DYZzcI8L6G,68,995601326959742976,2018-05-13 09:47:08,119,17,
158,"""The prime minister is delivering exactly what the 17.4m people voted for"" - @michaelgove on #Brexit progress? https://t.co/CzC3sGG2HC",134,995590192760213504,2018-05-13 09:02:53,165,41,
159,"RT @BBCSport: It's going to be an emotional day for #JohnMotson today.

10 World Cups ?
10 European Championships ?
29 FA Cup finals ?

He?",139,995588911987658752,2018-05-13 08:57:48,0,1139,
160,"RT @MarrShow: ?Nobody credible has suggested you can have no hard border in Northern Ireland,? says @Keir_Starmer #marr https://t.co/WAqZUp?",140,995587967443001344,2018-05-13 08:54:03,0,55,
161,"Tributes being paid to Dame Tessa Jowell, after her death at the age of 70

https://t.co/Y27NHLsq35 https://t.co/FRYur0QK8a",123,995581762909753345,2018-05-13 08:29:23,119,38,
162,Spanish Grand Prix: All you need to know after Lewis Hamilton takes pole https://t.co/Vh6gGAU9iK,96,995581170946662401,2018-05-13 08:27:02,23,10,
163,"Bafta TV Awards: Ant and Dec, Blue Planet, and other things to look out for https://t.co/pGhVr5kmFw",99,995581165326274560,2018-05-13 08:27:01,40,19,
164,"RT @bbc5live: Tributes are being paid to Dame Tessa Jowell, who has died aged 70.

https://t.co/TtSQmkEvS0 https://t.co/CD1YDQ1TY7",130,995579618131365888,2018-05-13 08:20:52,0,49,
165,Jorge Bergero: I bring my orchestra to the terminally ill https://t.co/z93cVYoUae,81,995578830948589568,2018-05-13 08:17:44,110,37,
166,RT @bbcweather: Warming up tomorrow with plenty of fine weather around. Nick https://t.co/SVdHfW2j8k,100,995577400435052546,2018-05-13 08:12:03,0,25,
167,"RT @BBCSport: It's not all over quite yet.

Here's what can happen on the final day of the Premier League season.

? https://t.co/duwKAIC5p?",140,995570599773827072,2018-05-13 07:45:02,0,24,
168,Eurovision 2018: The night in pictures https://t.co/jcPTo1lPbO,62,995569592629104640,2018-05-13 07:41:02,74,14,
169,"RT @bbcnickrobinson: We will be paying tribute to the brave, inspiring changemaker Tessa Jowell on #Marr at 9am &amp; playing part of my interv?",144,995568001473753089,2018-05-13 07:34:42,0,72,
170,"Brexit: I will not let you down, Theresa May promises https://t.co/06Vi0rxnGl",77,995567260529029120,2018-05-13 07:31:46,243,81,
171,"ICYMI: Chocolate, Putin and a Lego wedding https://t.co/dATqM4GqR1",66,995564882786385921,2018-05-13 07:22:19,29,10,
172,Obituary: Dame Tessa Jowell https://t.co/7Ieu1S38v8,51,995564877191303169,2018-05-13 07:22:18,263,95,
173,Eurovision 2018: Netta wins for Israel with Toy https://t.co/tCedC4Zxjm,71,995557828499734528,2018-05-13 06:54:17,103,22,
174,Paris knife attack: Suspect 'born in Russia's Chechnya' https://t.co/lW2YENsaza,79,995557828411691008,2018-05-13 06:54:17,53,36,
175,RT @bbcnickrobinson: It was a privilege to know Tessa Jowell and to talk to her about her brain cancer and her determination to use her las?,140,995555904480309248,2018-05-13 06:46:38,0,832,
176,Dame Tessa Jowell dies aged 70 https://t.co/gDzZwPpyzy,54,995554311089393666,2018-05-13 06:40:18,242,144,
177,Stage stormed during UK's Eurovision song https://t.co/VUIcp22eFx,65,995536217927290881,2018-05-13 05:28:25,58,19,
178,"Arsene Wenger years at Arsenal: Spice Girls, the iPod &amp; Barack Obama https://t.co/iSGcRXLgDR",96,995534430319071232,2018-05-13 05:21:18,44,10,
179,50 great World Cup moments: Nelinho's sublime strike for Brazil against Italy - 1978 https://t.co/b4y6P1zxhr,108,995532135493758981,2018-05-13 05:12:11,56,18,
180,Nine dead in Indonesia church bombings https://t.co/QBdwsCk6Fh,62,995526943843016704,2018-05-13 04:51:34,49,112,
181,Escaped horses force M11 closure near Harlow https://t.co/CuQnxynRkg,68,995512330472607745,2018-05-13 03:53:29,49,22,
